#Flow ID 	delaySum	lostPackets	bytesDropped	packetsDropped	rxBytes	rxPackets	txBytes	txPackets	
#FD  dSum lP byDpd pDd rB rP tB tP 
142	+0.0ns	1	0	0	0	0	1106	1
143	+0.0ns	1	0	0	0	0	1106	1
144	+0.0ns	1	0	0	0	0	1106	1
145	+0.0ns	1	0	0	0	0	1106	1
146	+0.0ns	1	0	0	0	0	1106	1
147	+0.0ns	1	0	0	0	0	1106	1
148	+0.0ns	1	0	0	0	0	1106	1
149	+0.0ns	1	0	0	0	0	1106	1
150	+0.0ns	1	0	0	0	0	1106	1
151	+0.0ns	1	0	0	0	0	1106	1
152	+0.0ns	0	0	0	0	0	1106	1
153	+0.0ns	1	2	2	0	0	1106	1
154	+0.0ns	0	0	0	0	0	1106	1
155	+0.0ns	0	0	0	0	0	1106	1
156	+0.0ns	0	0	0	0	0	1106	1
157	+0.0ns	0	0	0	0	0	1106	1
158	+0.0ns	0	0	0	0	0	2212	2
159	+0.0ns	0	0	0	0	0	1106	1
160	+0.0ns	0	0	0	0	0	1106	1
161	+0.0ns	0	0	0	0	0	1106	1
162	+0.0ns	1	2	2	0	0	1106	1
163	+0.0ns	1	2	2	0	0	1106	1
164	+0.0ns	1	2	2	0	0	1106	1
